index,unit,PV si,PV cpv,PV psi
unit,str,kWp,kWp,kWp
optimizeCap,bool,True,True,True
maximumCap,None or float,,,
installedCap,kWp,0,0,0
age_installed,year,0,0,0
lifetime,year,25,25,25
development_costs,currency,0,0,0
specific_costs,currency/unit,935,0,0
specific_costs_om,currency/unit/year,50,0,0
dispatch_price,currency/kWh,0,0,0
outflow_direction,str,PV bus,PV bus,PV bus
file_name,str,,,
energyVector,str,Electricity,Electricity,Electricity
renewableAsset,bool,True,True,True
type_oemof,str,source,source,source
